STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,LAT,LNG,LATFORMAT,LNGFORMAT,STATE
701196,99999,20130403,19.9,24,7.5,24,1033.5,24,9999.9,0,10,24,5.1,24,13,22.9,30.9,8.1, 0.00I,999.9,0,66983,-160433,66.983,-160.433,AK
701196,99999,20130404,22,24,2.1,24,1038.3,24,9999.9,0,10,24,8.1,24,15.9,22.9,   30.2*,  12.2*, 0.00I,999.9,0,66983,-160433,66.983,-160.433,AK
701210,26624,20130402,-4.8,20,-9.5,20,1029.9,14,9999.9,0,1.3,20,26.5,20,35.9,42,    1.4*,  -7.6*, 0.00H,999.9,1000,69817,-162917,69.817,-162.917,AK
701210,26624,20130403,-8.2,9,-14,9,1039,4,9999.9,0,2.1,9,24,9,27,33,   -5.8*, -13.0*, 0.00A,999.9,0,69817,-162917,69.817,-162.917,AK
701210,26624,20130404,-9.3,24,-15,24,1041,11,9999.9,0,2,24,22.2,24,28,34,-4,-15, 0.00I,999.9,0,69817,-162917,69.817,-162.917,AK
701330,26616,20130402,10.5,24,5,24,1022.9,24,1022.4,24,10,24,3.4,24,8,999.9,19,-8, 0.00G,5.9,0,66867,-162633,66.867,-162.633,AK
701330,26616,20130403,17.1,24,8.7,24,1027.4,24,1026.9,24,10,24,10.5,24,22,999.9,23,5, 0.00G,5.9,0,66867,-162633,66.867,-162.633,AK
701330,26616,20130404,18.3,24,6.5,24,1032.3,24,1031.7,24,9.9,24,16.1,24,22,999.9,26.1,10.9, 0.00G,5.1,0,66867,-162633,66.867,-162.633,AK
701330,26616,20130405,21.1,8,7.2,8,1026.4,8,1025.9,8,10,8,8.8,8,14,21,   24.1*,  17.1*, 0.00I,999.9,0,66867,-162633,66.867,-162.633,AK
701333,26643,20130402,-2.3,24,-6.9,24,1021.9,22,1021.3,24,8.7,24,1.5,24,5.1,999.9,5,-11, 0.00G,999.9,0,66083,-162750,66.083,-162.75,AK
701333,26643,20130403,4.8,24,-0.2,24,1026.1,24,1025.5,24,10,24,3.2,24,11.1,999.9,15.1,-4, 0.00G,999.9,0,66083,-162750,66.083,-162.75,AK
701333,26643,20130404,14.4,21,6,21,1029.7,20,1029.1,21,10,21,13,21,22,999.9,19.9,8.1, 0.00G,999.9,0,66083,-162750,66.083,-162.75,AK
701333,26643,20130405,10,7,3.5,7,1025.1,7,1024.5,7,10,7,4.6,7,11.1,999.9,   16.0*,  -0.9*, 0.00I,999.9,0,66083,-162750,66.083,-162.75,AK
701335,26648,20130402,12.7,24,4.3,24,9999.9,0,1021.2,24,10,24,4.7,24,11.1,18.1,24.8,3.2, 0.00I,999.9,0,67550,-162967,67.55,-162.967,AK
701335,26648,20130403,15.6,24,1.2,24,9999.9,0,1026.2,24,10,24,7.8,24,12,17.1,24.8,6.8, 0.00I,999.9,0,67550,-162967,67.55,-162.967,AK
701335,26648,20130404,16.3,24,0.2,24,9999.9,0,1031.4,24,10,24,8,24,11.1,14,28.4,1.4, 0.00I,999.9,0,67550,-162967,67.55,-162.967,AK
701335,26648,20130405,23,9,3.6,9,9999.9,0,1026.2,9,10,9,11,9,19,22,   26.6*,  15.8*, 0.00I,999.9,0,67550,-162967,67.55,-162.967,AK
